0	0
0.1987	0.2
0.3894	0.4
0.5646	0.6
0.932	1.2
0.9854	1.4
0.9738	1.8
0.9093	2
0.8085	2.2
0.1411	3
-0.05837	3.2
-0.2555	3.4
-0.4425	3.6
-0.6119	3.8
-0.9962	4.8
-0.9589	5
-0.8835	5.2
-0.7728	5.4
-0.2794	6
-0.08309	6.2
0.1165	6.4
0.3115	6.6
0.4941	6.8
0.9679	7.6
0.9985	7.8
0.9894	8
0.9407	8.2
0.7344	8.6
0.5849	8.8
0.4121	9
0.02478	9.4
-0.1743	9.6
-0.3665	9.8
-0.544	10
-0.9809	10.8
-0.9792	11.2
-0.9193	11.4
-0.6935	11.8
-0.5366	12
-0.3582	12.2
-0.1656	12.4
0.2315	12.8
0.4202	13
0.7404	13.4
0.8592	13.6
0.9437	13.8
0.998	14.2
0.9657	14.4
0.8948	14.6
0.6503	15
0.4864	15.2
0.3031	15.4
-0.09191	15.8
-0.2879	16
-0.4724	16.2
-0.6381	16.4
-0.7784	16.6
-0.8876	16.8
-0.9614	17
-0.9969	17.2
-0.6048	18.2
-0.4346	18.4
-0.247	18.6
-0.04954	18.8
0.1499	19
0.3433	19.2
0.8137	19.8
0.9129	20
0.9758	20.2
0.9998	20.4
0.9839	20.6
0.9288	20.8
0.5573	21.4
-0.008851	22
-0.2073	22.2
-0.3976	22.4
-0.5719	22.6
-0.7235	22.8
-0.8462	23
-0.9352	23.2
-0.9869	23.4
-0.9718	23.8
-0.9056	24
-0.6689	24.4
-0.5079	24.6
-0.3266	24.8
-0.1324	25
0.6188	25.8
0.7626	26
0.8759	26.2
0.9543	26.4
0.9564	27
0.8793	27.2
0.7671	27.4
0.4567	27.8
0.2709	28
0.07427	28.2
-0.5018	28.8
-0.6636	29
-0.799	29.2
-0.9026	29.4
-0.999	29.8
-0.988	30
-0.85	30.4
-0.7284	30.6
-0.404	31
-0.2143	31.2
0.183	31.6
